percentage,Unnamed: 1,percentage.1,ket,elapsed_time,gpu_used,dataset,experiment,file_path,subset_percentage_file
10,3,,Total,145.6014392375946,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_10.csv,10
100,0,100.0,Dataloader,931.0228688716888,522.33837890625,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_100.csv,100
100,1,100.0,Train,2736.458966255188,479.48095703125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_100.csv,100
100,2,100.0,Test,55.16480875015259,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_100.csv,100
100,3,,Total,3722.646643877029,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_100.csv,100
20,0,20.0,Dataloader,185.26537919044492,503.58349609375,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_20.csv,20
20,1,20.0,Train,133.2695231437683,479.48095703125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_20.csv,20
20,2,20.0,Test,2.964860677719116,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_20.csv,20
20,3,,Total,321.4997630119324,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_20.csv,20
30,0,30.0,Dataloader,293.74090933799744,503.58349609375,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_30.csv,30
30,1,30.0,Train,291.01913690567017,479.48095703125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_30.csv,30
30,2,30.0,Test,6.124122619628906,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_30.csv,30
